Pair,SSIM,Category,Sub-Category,Timestamp
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/scatter-and-bubble-charts/bubblechart/plot_2_0_specify_bubble_transparency_and_outline_color_montage.png,0.8397448281765105,scatter-and-bubble-charts,bubblechart,2021-08-20 14:12:35
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/scatter-and-bubble-charts/bubblechart/plot_0_0_plot_random_bubbles_montage.png,0.8422312879061258,scatter-and-bubble-charts,bubblechart,2021-08-20 14:12:34
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/scatter-and-bubble-charts/bubblechart/plot_1_2_specify_bubble_colors_montage.png,0.8481474441870667,scatter-and-bubble-charts,bubblechart,2021-08-20 14:12:35
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarbubblechart/plot_4_1_display_bubbles_in_different_axes_on_the_same_scale_montage.png,0.8483300993857606,polar-plots,polarbubblechart,2021-08-20 14:12:25
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarbubblechart/plot_2_1_specify_bubble_transparency_and_outline_color_montage.png,0.8579396832723423,polar-plots,polarbubblechart,2021-08-20 14:12:24
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarbubblechart/plot_2_2_specify_bubble_transparency_and_outline_color_montage.png,0.8591330957276531,polar-plots,polarbubblechart,2021-08-20 14:12:24
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarplot/plot_4_0_plot_negative_radius_values_montage.png,0.8731600711218943,polar-plots,polarplot,2021-08-20 14:12:29
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarplot/plot_4_1_plot_negative_radius_values_montage.png,0.8760635569286445,polar-plots,polarplot,2021-08-20 14:12:29
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarplot/plot_3_0_plot_radius_values_at_equally_spaced_angles_montage.png,0.879577478226674,polar-plots,polarplot,2021-08-20 14:12:29
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarplot/plot_1_0_convert_from_degrees_to_radians_before_plotting_montage.png,0.8821009933261967,polar-plots,polarplot,2021-08-20 14:12:28
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarplot/plot_6_1_specify_line_color_after_creation_montage.png,0.8837913520634504,polar-plots,polarplot,2021-08-20 14:12:30
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarplot/plot_5_0_specify_line_color_for_polar_plot_montage.png,0.8849074697453385,polar-plots,polarplot,2021-08-20 14:12:30
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarplot/plot_6_0_specify_line_color_after_creation_montage.png,0.8906985658733306,polar-plots,polarplot,2021-08-20 14:12:30
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarplot/plot_7_0_create_polar_plot_with_complex_values_montage.png,0.89210772050032,polar-plots,polarplot,2021-08-20 14:12:31
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/semilogx/plot_6_0_specify_target_axes_montage.png,0.9425842056834446,line-plots,semilogx,2021-08-20 14:12:04
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/scatter-and-bubble-charts/swarmchart3/plot_5_0_specify_target_axes_montage.png,,scatter-and-bubble-charts,swarmchart3,2021-08-20 14:12:57
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/surface-and-mesh-plots/pcolor/plot_1_0_plot_hadamard_matrix_montage.png,0.40575339910722386,surface-and-mesh-plots,pcolor,2021-08-20 14:13:10
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/volume-visualization/slice/plot_0_0_volume_data_along_slices_montage.png,0.4558082342675804,volume-visualization,slice,2021-08-20 14:13:33
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/surface-and-mesh-plots/pcolor/plot_6_0_specify_target_axes_montage.png,0.4598131411156329,surface-and-mesh-plots,pcolor,2021-08-20 14:13:12
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/surface-and-mesh-plots/pcolor/plot_0_0_plot_four_faces_with_four_colors_montage.png,0.49881802016014387,surface-and-mesh-plots,pcolor,2021-08-20 14:13:09
